crop,avg_yield_kg_per_ha,yield_low_kg_per_ha,yield_high_kg_per_ha,market_price_inr_per_quintal,cultivation_cost_inr_per_ha,season,category,duration_days,water_requirement_mm,data_source,price_per_kg_inr,revenue_per_ha_inr,profit_per_ha_inr,profit_margin_pct,breakeven_yield_kg_ha,roi_pct
rice,2500,1800,3800,2183,40000,Kharif,Cereal,120,1200,CACP 2024,21.83,54575.0,14575.0,26.7,1832.0,36.4
wheat,3200,2200,4500,2275,34000,Rabi,Cereal,150,450,CACP 2024,22.75,72800.0,38800.0,53.3,1495.0,114.1
maize,2800,1800,4200,1962,24000,Kharif,Cereal,90,600,CACP 2024,19.62,54936.0,30936.0,56.3,1223.0,128.9
chickpea,1000,650,1600,5440,26000,Rabi,Pulse,90,400,CACP 2024,54.4,54400.0,28400.0,52.2,478.0,109.2
kidneybeans,700,450,1100,6000,22000,Kharif,Pulse,90,350,Agmarknet 2024,60.0,42000.0,20000.0,47.6,367.0,90.9
pigeonpeas,700,450,1100,7000,20000,Kharif,Pulse,150,350,MSP 2024,70.0,49000.0,29000.0,59.2,286.0,145.0
mothbeans,500,300,800,8558,16000,Kharif,Pulse,70,300,MSP 2024,85.58,42790.0,26790.0,62.6,187.0,167.4
mungbean,650,420,950,8558,19000,Kharif,Pulse,60,350,MSP 2024,85.58,55627.0,36627.0,65.8,222.0,192.8
blackgram,700,450,1050,7400,19000,Kharif,Pulse,90,350,MSP 2024,74.0,51800.0,32800.0,63.3,257.0,172.6
lentil,900,600,1400,6000,23000,Rabi,Pulse,120,450,Agmarknet 2024,60.0,54000.0,31000.0,57.4,383.0,134.8
pomegranate,7000,4000,11000,4500,175000,Annual,Fruit,365,700,NABARD 2024,45.0,315000.0,140000.0,44.4,3889.0,80.0
banana,15000,10000,22000,1200,85000,Annual,Fruit,300,1200,NHB 2023,12.0,180000.0,95000.0,52.8,7083.0,111.8
mango,5000,3000,8000,2000,60000,Annual,Fruit,365,1200,NHB 2023,20.0,100000.0,40000.0,40.0,3000.0,66.7
grapes,10000,6000,16000,3500,180000,Annual,Fruit,120,700,NHB 2023,35.0,350000.0,170000.0,48.6,5143.0,94.4
watermelon,18000,12000,25000,600,45000,Kharif,Fruit,90,600,Agmarknet 2024,6.0,108000.0,63000.0,58.3,7500.0,140.0
muskmelon,8000,5000,12000,500,32000,Kharif,Fruit,90,500,Agmarknet 2024,5.0,40000.0,8000.0,20.0,6400.0,25.0
apple,7000,4000,11000,5500,160000,Annual,Fruit,365,1200,Agmarknet 2024,55.0,385000.0,225000.0,58.4,2909.0,140.6
orange,8000,5000,12000,2500,80000,Annual,Fruit,365,900,Agmarknet 2024,25.0,200000.0,120000.0,60.0,3200.0,150.0
papaya,10000,6000,16000,800,65000,Annual,Fruit,270,1500,Agmarknet 2024,8.0,80000.0,15000.0,18.8,8125.0,23.1
coconut,4500,3000,7000,2400,45000,Annual,Fruit,365,2000,Agmarknet 2024,24.0,108000.0,63000.0,58.3,1875.0,140.0
cotton,450,280,700,6620,40000,Kharif,Cash Crop,180,700,MSP 2024,66.2,29790.0,-10210.0,-34.3,604.0,-25.5
jute,2200,1600,3200,5050,38000,Kharif,Cash Crop,120,1500,MSP 2024,50.5,111100.0,73100.0,65.8,752.0,192.4
coffee,700,450,1050,23000,85000,Annual,Cash Crop,365,1800,Agmarknet 2024,230.0,161000.0,76000.0,47.2,370.0,89.4
